objectid_1,objectid,acres,month_map,area_,perimeter,date_map,strata,fiscaly,strata_d,areaid,shape_leng,i1_i2,st_areashape,st_perimetershape
22911,22911,0.15059222,APRIL,609.4294794,104.2399378,2011,K,2011,Subtidal Hard Non-vegetated Shell,P011,104.2398321,I1,609.4275695,104.2398321
22912,22912,0.40154264,APRIL,1624.994686,150.6357416,2011,K,2011,Subtidal Hard Non-vegetated Shell,P011,150.6356039,I1,1624.99192,150.6356039
22913,22913,0.31669771,APRIL,1281.636652,132.3597835,2011,G,2011,Subtidal Firm Non-vegetated Shell,P011,132.3597553,I1,1281.635316,132.3597553
22914,22914,0.20525566,APRIL,830.6417651,109.8915769,2011,K,2011,Subtidal Hard Non-vegetated Shell,P011,109.8916049,I1,830.6435216,109.8916049
22915,22915,0.48366185,APRIL,1957.31834,161.6547973,2011,K,2011,Subtidal Hard Non-vegetated Shell,P011,161.6547334,I1,1957.317898,161.6547334
22916,22916,0.93351604,APRIL,3777.819754,247.5049523,2011,G,2011,Subtidal Firm Non-vegetated Shell,P011,247.5049432,I1,3777.820506,247.5049432
22917,22917,0.37045109,APRIL,1499.169403,147.0871366,2011,K,2011,Subtidal Hard Non-vegetated Shell,P011,147.0870798,I1,1499.168386,147.0870798
22918,22918,0.33402975,APRIL,1351.775705,144.7784133,2011,K,2011,Subtidal Hard Non-vegetated Shell,P011,144.778416,I1,1351.775869,144.778416
22919,22919,0.59089822,APRIL,2391.292471,192.1949881,2011,K,2011,Subtidal Hard Non-vegetated Shell,P011,192.1949836,I1,2391.289829,192.1949836
22920,22920,0.37311398,APRIL,1509.944788,143.8813733,2011,K,2011,Subtidal Hard Non-vegetated Shell,P011,143.8813696,I1,1509.944762,143.8813696
22921,22921,10.86963373,APRIL,43988.03128,1055.257269,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P011,1055.257177,I1,43988.02304,1055.257177
