Dataset: Gulf of Mexico ,,,,,,
Species Name: Dwarf goatfish (Upeneus parvus),,,,,,
,,,,,,
HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
004-282-00001,11-20,30.0375833333333,-88.1565833333333,22.9,2008,0
004-282-00002,11-20,30.0278333333333,-88.209,24,2008,0
004-282-00003,10-20,29.9806666666667,-87.947,26.2,2008,0
004-282-00004,11-20,29.8476666666667,-88.1675833333333,32.9,2008,0
004-282-00005,11-60,29.55525,-88.07725,40.4,2008,0
004-282-00006,11-60,29.5185833333333,-88.07475,39.7,2008,0
004-282-00007,11-60,29.4936666666667,-88.0675833333333,43,2008,0
004-282-00008,11-60,29.2889166666667,-88.3045833333333,73,2008,0.0829413449374779
004-282-00009,11-60,29.2458333333333,-88.3523333333333,91.1,2008,0
004-282-00010,11-60,29.2884166666667,-88.4195833333333,64,2008,0.0598789072609367
004-282-00011,11-60,29.3841666666667,-88.1125,74.4,2008,0
004-282-00012,11-60,29.4501666666667,-88.063,54.3,2008,0
004-282-00013,11-60,29.5208333333333,-88.1803333333333,46.1,2008,0
004-282-00014,11-60,29.5548333333333,-88.1826666666667,43.3,2008,0
004-282-00015,11-60,29.0925833333333,-88.87225,82.5,2008,0
004-282-00016,11-60,29.2476666666667,-88.4955833333333,96.6,2008,0
004-282-00017,11-60,29.2473333333333,-88.5215833333333,73.7,2008,0.210208858206979
004-282-00018,11-60,29.1354166666667,-88.636,92,2008,0
004-282-00019,11-60,29.03175,-88.988,60.9,2008,0
004-282-00020,0-60,26.0509166666667,-96.4035833333333,83.6,2008,0.0298942620023469
004-282-00022,0-60,26.3280833333333,-96.35825,82.8,2008,1.08392120049326
004-282-00024,21-60,26.5203333333333,-96.5945833333333,73.7,2008,0.204529092218077
004-282-00025,21-60,26.5180833333333,-96.6228333333333,66,2008,0
004-282-00027,21-20,26.10875,-97.0853333333333,18.7,2008,1.63834300261138
004-282-00028,21-20,26.00675,-97.0525833333333,23.8,2008,0
004-282-00029,21-20,26.1125833333333,-97.1485833333333,10.1,2008,0
004-282-00030,21-20,26.2575,-96.9441666666667,31.3,2008,0.437709088204124
004-282-00031,21-60,26.36225,-96.8231666666667,40.1,2008,0.0283165632424223
004-282-00032,21-60,26.3714166666667,-96.7778333333333,41.7,2008,0.176256479295543
004-282-00033,21-60,26.372,-96.7340833333333,43.9,2008,0.273888381392931
004-282-00034,21-20,26.468,-96.9749166666667,36.4,2008,0.0441106443767963
004-282-00035,21-20,26.606,-97.043,34.9,2008,0.0020362204854727
004-282-00036,21-20,26.7684166666667,-97.1811666666667,27.6,2008,0.0214057678535323
004-282-00037,21-20,26.7986666666667,-97.17475,27.4,2008,0.0094902419055069
004-282-00038,21-20,26.7538333333333,-97.2790833333333,18.5,2008,0.0155827428818818
004-282-00039,21-20,26.5109166666667,-97.23975,11.3,2008,0
