LAT,LONG,Depth,Year
28.483,-90.97733333,35.1,2010
28.33016667,-90.47108333,53.8,2010
28.30525,-90.40358333,60.2,2010
28.266,-90.12225,96.6,2010
28.34975,-90.05425,86.9,2010
28.43466667,-90.1665,60.2,2010
28.39291667,-90.15825,64.7,2010
28.44816667,-90.26716667,51.9,2010
28.42366667,-90.23441667,55.8,2010
28.30108333,-90.07725,94.4,2010
28.19316667,-90.6425,82.7,2010
28.46691667,-90.31533333,48.3,2010
28.158,-90.60716667,95.1,2010
28.52591667,-90.44541667,38,2010
28.14016667,-90.887,96.6,2010
28.46866667,-90.55375,38.4,2010
28.71941667,-90.72666667,18.1,2010
28.89175,-90.53275,16.5,2010
28.86283333,-90.61208333,16.6,2010
28.83741667,-90.75,17.6,2010
28.765,-90.86691667,17.9,2010
29.17633333,-94.75725,14.8,2010
29.14258333,-94.75066667,17,2010
29.13383333,-94.86733333,14.3,2010
29.07408333,-94.78041667,18.3,2010
29.0165,-94.71758333,19,2010
28.95125,-95.00991667,18.7,2010
28.811,-94.89366667,20.3,2010
28.7725,-94.87833333,22.5,2010
28.65666667,-95.173,25.1,2010
28.6235,-95.15116667,27.2,2010
28.43858333,-95.52491667,29.1,2010
28.54591667,-95.60033333,20.1,2010
28.45758333,-95.74483333,23,2010
28.41233333,-95.85683333,22.3,2010
28.38375,-95.83925,25.1,2010
28.45308333,-95.98208333,17.6,2010
28.34816667,-96.02,21.8,2010
27.20991667,-97.00466667,36.6,2010
28.09916667,-96.10375,32.9,2010
27.05016667,-97.13266667,31.1,2010
27.01808333,-97.065,35.3,2010
28.27175,-96.325,20.5,2010
26.60591667,-97.05441667,33.3,2010
26.447,-97.162,18.1,2010
27.924,-96.29508333,42.2,2010
26.46591667,-97.017,32,2010
27.9395,-96.38675,35.7,2010
26.31541667,-96.939,35.1,2010
26.29366667,-96.90716667,37.7,2010
27.86091667,-96.46175,38.4,2010
26.11775,-96.86191667,37.9,2010
27.64925,-96.50775,56.1,2010
26.01341667,-97.01383333,26,2010
26.02808333,-96.92883333,32,2010
27.45616667,-96.461,83.2,2010
26.03066667,-96.45258333,66.8,2010
26.12316667,-96.46433333,62.9,2010
27.65775,-96.91425,25.6,2010
26.17533333,-96.36858333,95.1,2010
27.67641667,-97.01641667,20.5,2010
26.22225,-96.37141667,90.9,2010
27.59575,-96.977,25.2,2010
26.25458333,-96.57533333,53.2,2010
27.31033333,-97.127,26.2,2010
26.32041667,-96.6775,47,2010
26.59366667,-96.67175,64.9,2010
26.60883333,-96.62741667,73,2010
26.64016667,-96.57266667,89.6,2010
26.68058333,-96.6055,89.6,2010
26.86375,-96.82075,60.7,2010
27.12208333,-96.57325,94.9,2010
27.15066667,-96.53841667,100.8,2010
27.32025,-96.67058333,68,2010
27.33475,-96.63241667,71.5,2010
27.99883333,-95.8015,49.2,2010
27.75541667,-95.95683333,73.2,2010
27.80925,-96.12941667,64,2010
27.66833333,-96.11466667,93.3,2010
27.3635,-96.44591667,95.8,2010
27.786,-95.9385,62.4,2010
27.76183333,-95.60958333,94,2010
27.81333333,-95.626,72.2,2010
27.97725,-95.74616667,51.9,2010
27.91733333,-95.54075,61.4,2010
27.94075,-95.38758333,67.5,2010
28.33966667,-95.37283333,34.6,2010
27.94466667,-95.41233333,66.2,2010
28.33441667,-95.32208333,35.3,2010
28.1205,-95.59558333,44.4,2010
28.43233333,-95.31975,32.7,2010
28.23033333,-95.65216667,35.7,2010
28.494,-94.9795,34,2010
28.20058333,-95.40125,44.6,2010
28.29441667,-94.96625,43,2010
28.22516667,-95.37625,41,2010
28.25658333,-94.96116667,46.8,2010
28.23766667,-95.33833333,41.9,2010
28.30691667,-95.15166667,38.2,2010
28.30425,-95.31666667,37.9,2010
28.062,-95.25775,55.4,2010
28.02591667,-95.272,58.5,2010
28.08633333,-95.21758333,54.3,2010
28.05491667,-95.11725,58.9,2010
28.12975,-94.616,56.7,2010
28.02708333,-94.52158333,59.4,2010
28.09291667,-94.16183333,60.9,2010
28.26408333,-94.23808333,50.7,2010
28.22675,-94.25558333,51.2,2010
28.47408333,-94.15958333,40.4,2010
28.424,-94.60825,40.2,2010
28.38858333,-94.63083333,41.7,2010
28.66091667,-94.57425,29.6,2010
28.67916667,-94.94625,27.6,2010
28.68333333,-94.92791667,26.5,2010
28.80408333,-94.72358333,21.9,2010
28.88358333,-94.595,20.3,2010
28.85058333,-94.60783333,20.1,2010
28.77425,-94.60508333,21.4,2010
28.77691667,-94.51858333,24.3,2010
28.77616667,-94.33266667,28.2,2010
29.0055,-94.31166667,18.7,2010
28.97641667,-94.33375,16.1,2010
29.08466667,-94.34075,16.8,2010
28.50491667,-91.22341667,36.6,2010
